,0
0,78.0
1,78.0
2,78.0
3,78.0
4,78.0
5,78.0
6,78.0
7,78.0
8,78.0
9,78.0
10,78.0
11,78.0
12,78.0
13,78.0
14,78.0
15,77.0
16,77.0
17,77.0
18,77.0
19,77.0
20,77.0
21,77.0
22,77.0
23,77.0
24,77.0
25,77.0
26,77.0
27,77.0
28,77.0
29,77.0
30,77.0
31,77.0
32,77.0
33,77.0
34,77.0
35,77.0
36,77.0
37,76.0
38,76.0
39,76.0
40,76.0
41,76.0
42,76.0
43,76.0
44,76.0
45,76.0
46,76.0
47,76.0
48,76.0
49,76.0
50,76.0
51,76.0
52,76.0
53,76.0
54,76.0
55,76.0
56,76.0
57,76.0
58,76.0
59,76.0
60,76.0
61,76.0
62,76.0
63,76.0
64,76.0
65,76.0
66,76.0
67,76.0
68,76.0
69,76.0
70,76.0
71,76.0
72,76.0
73,76.0
74,76.0
75,76.0
76,76.0
77,76.0
78,76.0
79,76.0
80,76.0
81,76.0
82,76.0
83,76.0
84,76.0
85,76.0
86,76.0
87,76.0
88,76.0
89,76.0
90,76.0
91,76.0
92,76.0
93,75.0
94,75.0
95,75.0
96,75.0
97,75.0
98,75.0
99,75.0
100,75.0
101,75.0
102,75.0
103,75.0
104,75.0
105,75.0
106,75.0
107,75.0
108,75.0
109,75.0
110,75.0
111,75.0
112,75.0
113,75.0
114,75.0
115,75.0
116,75.0
117,75.0
118,75.0
119,75.0
120,75.0
121,75.0
122,75.0
123,75.0
124,75.0
125,75.0
126,75.0
127,75.0
128,75.0
129,75.0
130,75.0
131,75.0
132,75.0
133,75.0
134,75.0
135,75.0
136,75.0
137,75.0
138,75.0
139,75.0
140,75.0
141,75.0
142,75.0
143,75.0
144,75.0
145,75.0
146,75.0
147,75.0
148,75.0
149,75.0
150,75.0
151,75.0
152,75.0
153,75.0
154,75.0
155,75.0
156,75.0
157,75.0
158,75.0
159,75.0
160,75.0
161,75.0
162,75.0
163,75.0
164,75.0
165,75.0
166,75.0
167,75.0
168,75.0
169,75.0
170,75.0
171,75.0
172,75.0
173,75.0
174,75.0
175,75.0
176,75.0
177,75.0
178,75.0
179,75.0
180,74.0
181,74.0
182,74.0
183,74.0
184,74.0
185,74.0
186,74.0
187,74.0
188,74.0
189,74.0
190,74.0
191,74.0
192,74.0
193,74.0
194,74.0
195,74.0
196,74.0
197,74.0
198,74.0
199,74.0
200,74.0
201,74.0
202,74.0
203,74.0
204,74.0
205,74.0
206,74.0
207,74.0
208,74.0
209,74.0
210,74.0
211,74.0
212,74.0
213,74.0
214,74.0
215,74.0
216,74.0
217,74.0
218,74.0
219,74.0
220,72.0
221,72.0
222,72.0
223,72.0
224,72.0
225,72.0
226,72.0
227,72.0
228,72.0
229,72.0
230,72.0
231,72.0
232,72.0
233,72.0
234,72.0
235,72.0
236,72.0
237,72.0
238,72.0
239,72.0
240,72.0
241,72.0
242,72.0
243,72.0
244,72.0
245,72.0
246,72.0
247,72.0
248,72.0
249,72.0
250,72.0
251,72.0
252,72.0
253,72.0
254,72.0
255,72.0
256,72.0
257,72.0
258,72.0
259,72.0
260,72.0
261,72.0
262,72.0
263,72.0
264,72.0
265,72.0
266,72.0
267,72.0
268,72.0
269,72.0
270,72.0
271,72.0
272,72.0
273,72.0
274,72.0
275,72.0
276,72.0
277,72.0
278,72.0
279,72.0
280,72.0
281,72.0
282,72.0
283,72.0
284,72.0
285,72.0
286,72.0
287,72.0
288,72.0
289,72.0
290,72.0
291,72.0
292,72.0
293,72.0
294,72.0
295,72.0
296,72.0
297,72.0
298,72.0
299,72.0
