,0
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,79.0
6,76.0
7,76.0
8,76.0
9,76.0
10,76.0
11,76.0
12,76.0
13,76.0
14,76.0
15,76.0
16,76.0
17,76.0
18,76.0
19,76.0
20,76.0
21,76.0
22,76.0
23,76.0
24,76.0
25,76.0
26,76.0
27,76.0
28,76.0
29,76.0
30,76.0
31,74.0
32,74.0
33,74.0
34,74.0
35,74.0
36,74.0
37,74.0
38,74.0
39,74.0
40,74.0
41,74.0
42,74.0
43,74.0
44,74.0
45,74.0
46,74.0
47,74.0
48,74.0
49,74.0
50,74.0
51,74.0
52,74.0
53,74.0
54,74.0
55,74.0
56,74.0
57,74.0
58,74.0
59,74.0
60,74.0
61,74.0
62,74.0
63,74.0
64,74.0
65,74.0
66,74.0
67,74.0
68,74.0
69,74.0
70,74.0
71,74.0
72,74.0
73,74.0
74,74.0
75,74.0
76,74.0
77,74.0
78,74.0
79,74.0
80,74.0
81,74.0
82,74.0
83,74.0
84,74.0
85,74.0
86,74.0
87,74.0
88,74.0
89,74.0
90,74.0
91,74.0
92,74.0
93,74.0
94,74.0
95,74.0
96,74.0
97,74.0
98,74.0
99,74.0
100,74.0
101,74.0
102,74.0
103,74.0
104,74.0
105,74.0
106,74.0
107,74.0
108,74.0
109,74.0
110,74.0
111,74.0
112,73.0
113,73.0
114,73.0
115,73.0
116,73.0
117,73.0
118,73.0
119,73.0
120,73.0
121,73.0
122,73.0
123,73.0
124,73.0
125,73.0
126,73.0
127,73.0
128,73.0
129,73.0
130,73.0
131,73.0
132,73.0
133,73.0
134,73.0
135,73.0
136,73.0
137,73.0
138,73.0
139,73.0
140,73.0
141,73.0
142,73.0
143,73.0
144,73.0
145,73.0
146,73.0
147,72.0
148,72.0
149,72.0
150,72.0
151,72.0
152,72.0
153,72.0
154,72.0
155,72.0
156,72.0
157,72.0
158,72.0
159,72.0
160,72.0
161,72.0
162,72.0
163,72.0
164,72.0
165,72.0
166,72.0
167,72.0
168,72.0
169,72.0
170,72.0
171,72.0
172,72.0
173,72.0
174,72.0
175,72.0
176,72.0
177,72.0
178,72.0
179,72.0
180,72.0
181,72.0
182,72.0
183,72.0
184,72.0
185,72.0
186,72.0
187,72.0
188,72.0
189,72.0
190,72.0
191,72.0
192,72.0
193,72.0
194,72.0
195,72.0
196,72.0
197,72.0
198,72.0
199,72.0
200,72.0
201,72.0
202,72.0
203,72.0
204,72.0
205,72.0
206,72.0
207,72.0
208,72.0
209,72.0
210,72.0
211,72.0
212,72.0
213,72.0
214,72.0
215,72.0
216,72.0
217,72.0
218,72.0
219,72.0
220,72.0
221,72.0
222,72.0
223,72.0
224,72.0
225,72.0
226,72.0
227,72.0
228,72.0
229,72.0
230,72.0
231,72.0
232,72.0
233,72.0
234,72.0
235,72.0
236,72.0
237,72.0
238,72.0
239,72.0
240,72.0
241,72.0
242,72.0
243,72.0
244,72.0
245,72.0
246,72.0
247,72.0
248,72.0
249,72.0
250,72.0
251,72.0
252,72.0
253,72.0
254,72.0
255,72.0
256,72.0
257,72.0
258,72.0
259,72.0
260,72.0
261,72.0
262,72.0
263,72.0
264,72.0
265,72.0
266,72.0
267,72.0
268,72.0
269,72.0
270,72.0
271,72.0
272,72.0
273,72.0
274,72.0
275,72.0
276,72.0
277,72.0
278,72.0
279,72.0
280,72.0
281,72.0
282,72.0
283,72.0
284,72.0
285,72.0
286,72.0
287,72.0
288,72.0
289,72.0
290,72.0
291,72.0
292,72.0
293,72.0
294,72.0
295,72.0
296,72.0
297,72.0
298,72.0
299,72.0
