,0
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,80.0
6,80.0
7,79.0
8,79.0
9,79.0
10,79.0
11,79.0
12,77.0
13,77.0
14,77.0
15,77.0
16,77.0
17,77.0
18,77.0
19,77.0
20,77.0
21,77.0
22,77.0
23,77.0
24,77.0
25,77.0
26,77.0
27,77.0
28,77.0
29,77.0
30,76.0
31,76.0
32,76.0
33,76.0
34,76.0
35,76.0
36,76.0
37,76.0
38,76.0
39,76.0
40,76.0
41,76.0
42,76.0
43,76.0
44,76.0
45,76.0
46,76.0
47,76.0
48,76.0
49,76.0
50,76.0
51,76.0
52,76.0
53,76.0
54,76.0
55,76.0
56,76.0
57,76.0
58,76.0
59,76.0
60,76.0
61,76.0
62,75.0
63,75.0
64,75.0
65,75.0
66,75.0
67,75.0
68,75.0
69,75.0
70,75.0
71,75.0
72,75.0
73,75.0
74,75.0
75,75.0
76,75.0
77,75.0
78,75.0
79,75.0
80,75.0
81,75.0
82,75.0
83,75.0
84,75.0
85,75.0
86,75.0
87,75.0
88,75.0
89,75.0
90,75.0
91,75.0
92,75.0
93,75.0
94,75.0
95,75.0
96,75.0
97,75.0
98,75.0
99,75.0
100,75.0
101,75.0
102,75.0
103,75.0
104,75.0
105,75.0
106,75.0
107,75.0
108,75.0
109,75.0
110,75.0
111,75.0
112,75.0
113,75.0
114,75.0
115,75.0
116,75.0
117,75.0
118,75.0
119,75.0
120,75.0
121,75.0
122,75.0
123,75.0
124,75.0
125,75.0
126,75.0
127,75.0
128,75.0
129,75.0
130,75.0
131,75.0
132,75.0
133,75.0
134,75.0
135,75.0
136,75.0
137,75.0
138,75.0
139,75.0
140,75.0
141,75.0
142,75.0
143,75.0
144,75.0
145,75.0
146,75.0
147,75.0
148,75.0
149,75.0
150,75.0
151,75.0
152,75.0
153,75.0
154,75.0
155,75.0
156,75.0
157,75.0
158,75.0
159,75.0
160,75.0
161,75.0
162,75.0
163,75.0
164,75.0
165,75.0
166,75.0
167,75.0
168,75.0
169,75.0
170,75.0
171,75.0
172,75.0
173,75.0
174,75.0
175,75.0
176,75.0
177,75.0
178,75.0
179,75.0
180,75.0
181,75.0
182,75.0
183,75.0
184,75.0
185,75.0
186,75.0
187,75.0
188,75.0
189,75.0
190,75.0
191,75.0
192,75.0
193,75.0
194,75.0
195,75.0
196,75.0
197,75.0
198,75.0
199,75.0
200,75.0
201,75.0
202,75.0
203,75.0
204,75.0
205,75.0
206,75.0
207,75.0
208,75.0
209,75.0
210,75.0
211,75.0
212,75.0
213,75.0
214,75.0
215,75.0
216,75.0
217,75.0
218,75.0
219,75.0
220,75.0
221,75.0
222,75.0
223,75.0
224,75.0
225,75.0
226,75.0
227,75.0
228,75.0
229,75.0
230,75.0
231,75.0
232,75.0
233,75.0
234,75.0
235,75.0
236,75.0
237,75.0
238,75.0
239,75.0
240,75.0
241,75.0
242,75.0
243,75.0
244,75.0
245,75.0
246,75.0
247,75.0
248,75.0
249,75.0
250,75.0
251,75.0
252,75.0
253,75.0
254,75.0
255,75.0
256,75.0
257,75.0
258,75.0
259,75.0
260,75.0
261,75.0
262,75.0
263,75.0
264,75.0
265,75.0
266,75.0
267,75.0
268,75.0
269,75.0
270,75.0
271,75.0
272,75.0
273,75.0
274,75.0
275,75.0
276,75.0
277,75.0
278,75.0
279,74.0
280,74.0
281,74.0
282,74.0
283,74.0
284,74.0
285,74.0
286,74.0
287,74.0
288,74.0
289,74.0
290,74.0
291,74.0
292,74.0
293,74.0
294,74.0
295,74.0
296,74.0
297,74.0
298,74.0
299,74.0
